fund_long_name,initial_investment,fund_category,management_name
American Century Strategic Allocation: Moderate Fund A Class,2500,Large Blend,Scott A. Wilson
American Century California High Yield Municipal Fund Y Class,2500,Systematic Trend,Alan M. Kruss
American Century California Intermediate-Term Tax-Free Bond Fund Y Class,2500,Systematic Trend,Steven Permut
American Century Diversified Bond Fund A Class,2500,Intermediate Core-Plus Bond,Jeffrey Houston
American Century Emerging Markets Small Cap Fund A Class,2500,World Allocation,Patricia Ribeiro
American Century Emerging Markets Small Cap Fund R Class,2500,World Allocation,Patricia Ribeiro
American Century Emerging Markets Debt Fund R Class,2500,Large Growth,Alessandra Alecci
AB Global Real Estate Investment Fund Class I,2500,Large Growth,Eric J. Franco
Virtus NFJ International Value Fund Class A,2500,Foreign Large Growth,Paul Magnuson
Angel Oak Financials Income Fund Class C,2500,Foreign Large Growth,Kevin Parks
Anfield Universal Fixed Income Fund Class C,2500,Intermediate Core-Plus Bond,David Young
American Century Global Bond Fund R5 Class,2500,Inflation-Protected Bond,John A. Lovito
AB High Income Fund Class K,2500,Foreign Large Blend,Gershon M. Distenfeld
Horizon Active Income Fund Investor Class,2500,Corporate Bond,Scott E. Ladner
AQR International Momentum Style Fund Class I,2500,Corporate Bond,Ronen N. Israel
Cavanal HillUltra Short Tax-Free Income Fund Institutional,2500,Large Value,Richard A. Williams
American Funds International Vantage Fund Class A,2500,Allocation--70% to 85% Equity,Gregory Fuss
American Funds International Vantage Fund Class C,2500,Long-Short Equity,Gregory Fuss
AB International Value Fund Class R,2500,Systematic Trend,Avi Lavi
American Century International Growth Fund C Class,2500,Systematic Trend,Jim Zhao
ALPS/Smith Balanced Opportunity Fund Class C,2500,World Small/Mid Stock,Eric Hewitt
AB Large Cap Growth Fund Class K,2500,World Small/Mid Stock,John Fogarty
Virtus NFJ Large-Cap Value Fund Class P,2500,World Small/Mid Stock,Thomas W. Oliver
Amana Mutual Funds Trust Income Fund Investor,2500,,Scott F. Klimo
American Funds American Balanced Fund Class F-2,2500,Multisector Bond,Paul R. Benjamin
American Beacon Mid-Cap Value Fund C Class,2500,Intermediate Core Bond,John Arthur Carr
American Funds AMCAP Fund Class F-2,2500,,Aidan O'Connell
Alger Mid Cap Growth Fund Class Z,2500,Small Blend,Daniel C. Chung
AAMA Equity Fund,2500,Short-Term Bond,Robert D. Baker
AAMA Income Fund,2500,Bank Loan,Robert D. Baker
AlphaSimplex Managed Futures Strategy Fund Class N,2500,Bank Loan,Philippe P. LÃ¼di
Amana Mutual Funds Trust Developing World Fund Institutional,2500,World Bond,Monem A. Salam
American Century Emerging Markets Fund I Class,2500,Mid-Cap Growth,Patricia Ribeiro
AlphaMark Fund,2500,Mid-Cap Growth,Michael L. Simon
MainGate MLP Fund Class A,2500,Mid-Cap Growth,Matthew G. Mead
Columbia Capital Allocation Moderate Portfolio Class C,2500,Allocation--70% to 85% Equity,Anwiti Bahuguna
AB All Market Real Return Portfolio Class I,2500,Allocation--70% to 85% Equity,Daniel J. Loewy
American Century Mid Cap Value Fund R Class,2500,,Brian Woglom
Artisan High Income Fund Advisor Shares,2500,Allocation--30% to 50% Equity,Bryan C. Krug
American Century Short Duration Inflation Protection Bond Fund R5 Class,2500,Health,Robert Gahagan
Yorktown Growth Fund Class L,2500,Health,David Basten
Yorktown Multi-Sector Bond Fund Class A,2500,Health,David D. Basten
Cavanal Hill Hedged Income Fund Investor,2500,Mid-Cap Value,Brandon R. Barnes
American Century Short Duration Inflation Protection Bond Fund A Class,2500,Foreign Large Value,Robert Gahagan
American Century Short Duration Inflation Protection Bond Fund R6 Class,2500,Small Blend,Robert Gahagan
American Century Short Duration Inflation Protection Bond Fund I Class,2500,Foreign Large Blend,Robert Gahagan
Cavanal Hill Opportunistic Fund Investor,2500,Large Value,Brandon R. Barnes
American Century Short Duration Inflation Protection Bond Fund Y Class,2500,World Bond,Robert Gahagan
Appleseed Fund Institutional Share,2500,High Yield Bond,Shaun Roach
AAM/Phocas Real Estate Fund Class A Shares,2500,Foreign Large Blend,James F. K. Murray
Fiera Capital Small/Mid-Cap Growth Fund Institutional Class,2500,Diversified Emerging Mkts,Michael D. Kalbfleisch
Cavanal Hill Limited Duration Fund Investor Class,2500,Foreign Small/Mid Growth,Russell P. Knox
Pinnacle TrendRating Innovative Equity Fund Class A,2500,Large Blend,R. Sean McCurry
Horizon Active Risk Assist Fund Class A,2500,Pacific/Asia ex-Japan Stk,Michael Dickson
American Century Investments One Choice 2040 Portfolio R6 Class,2500,Foreign Large Blend,Radu Gabudean
American Century Real Estate Fund A Class,2500,Mid-Cap Value,Steven R. Rodriguez
American Century Investments One Choice 2055 Portfolio C Class,2500,Emerging Markets Bond,Radu Gabudean
American Century Investments One Choice 2055 Portfolio R Class,2500,Mid-Cap Value,Radu Gabudean
American Century Investments One Choice 2050 Portfolio C Class,2500,Miscellaneous Region,Radu Gabudean
American Century Investments One Choice 2065 Portfolio R6 Class,2500,Diversified Pacific/Asia,John Donner
American Century Investments One Choice 2065 Portfolio Investor Class,2500,Allocation--50% to 70% Equity,John Donner
AMG River Road Small-Mid Cap Value Fund Class I,2500,Pacific/Asia ex-Japan Stk,J. Justin Akin
Western Asset Ultra-Short Income Fund Class C1,2500,Small Growth,S. Kenneth Leech
Western Asset Ultra-Short Income Fund Class IS,2500,Pacific/Asia ex-Japan Stk,S. Kenneth Leech
American Century Investments One Choice 2045 Portfolio Investor Class,2500,Pacific/Asia ex-Japan Stk,Radu Gabudean
American Century Short Duration Fund G Class,2500,Macro Trading,Robert Gahagan
American Century Short Duration Strategic Income Fund R Class,2500,Macro Trading,Jeffrey Houston
American Century Short Duration Strategic Income Fund Investor Class,2500,Macro Trading,Jeffrey Houston
Nuveen Small Cap Select Fund Class R6,2500,Macro Trading,Gregory J. Ryan
American Century Select Fund R Class,2500,Muni California Long,Keith Lee
American Century Strategic Income Fund Investor Class,2500,China Region,Jeffrey Houston
Alger Small Cap Growth Institutional Fund Class R,2500,Convertibles,Amy Y. Zhang
Invesco Asia Pacific Growth Fund Class R6,2500,Convertibles,Shuxin (Steve) Cao
American Century Strategic Allocation: Moderate Fund R5 Class,2500,China Region,Scott A. Wilson
Astor Sector Allocation Fund Class A,2500,Mid-Cap Value,John F. Eckstein
Alger Spectra Fund Class Y,2500,Foreign Small/Mid Blend,Daniel Chung
American Trust Allegiance Fund,2500,Emerging Markets Bond,Paul Collins
AB Sustainable Global Thematic Fund Class C,2500,China Region,Daniel Charles Roarty
Atlas U.S. Tactical Income Fund Class C,2500,Allocation--50% to 70% Equity,Paul Hopgood
Invesco World Bond Factor Fund Class C,2500,High Yield Bond,James Ong
AQR Large Cap Defensive Style Fund Class N,2500,High Yield Bond,Andrea Frazzini
Auxier Focus Fund Class Investor,2500,Allocation--15% to 30% Equity,J. Jeffrey Auxier
American Century Value Fund R6 Class,2500,Muni Single State Long,Kevin N. Toney
AB Wealth Appreciation Strategy Class C,2500,,Nelson Yu
CIBC Atlas All Cap Growth Fund Institutional Class,2500,,Robert C. Bridges
Invesco Global Core Equity Fund Class C,2500,Health,Michael Hatcher
CIBC Atlas International Growth Fund Institutional Class Shares,2500,Diversified Emerging Mkts,Daniel P. Delany
Aquila Tax-Free Trust of Arizona Class Y,2500,Foreign Large Value,Anthony Tanner
BlackRock Energy Opportunities Fund Investor C Class,2500,World Bond,Alastair Bishop
BlackRock Energy Opportunities Fund Service Class,2500,World Large-Stock Blend,Alastair Bishop
BMO Dividend Income Fund Class A,2500,Long-Short Equity,Kenneth J. Conrad
Brown Advisory Total Return Fund Institutional Shares,2500,Mid-Cap Blend,Thomas D. D. Graff
Brown Advisory Sustainable Growth Fund Institutional Shares,2500,Mid-Cap Blend,David B. Powell
Brown Advisory Mortgage Securities Fund Institutional Shares,2500,Long-Short Equity,Thomas D. D. Graff
Brown Advisory Growth Equity Fund Advisor Shares,2500,Mid-Cap Blend,Kenneth M. Stuzin
Sterling Capital North Carolina Intermediate Tax-Free Fund Institutional Shares,2500,Large Growth,Robert F. Millikan
BlackRock Global Long/Short Equity Fund Investor C Shares,2500,World Bond-USD Hedged,Kevin Franklin
Brandes Emerging Markets Value Fund Class A,2500,,Mauricio Abadia
Baron Emerging Markets Fund Institutional Shares,2500,Large Growth,Michael Kass
Baron Emerging Markets Fund Class R6,2500,Mid-Cap Growth,Michael Kass
American Funds Corporate Bond Fund Class F-1,2500,Mid-Cap Growth,Scott Sykes
BlackRock Core Bond Portfolio Institutional Shares,2500,Large Growth,Bob Miller
Baillie Gifford Emerging Markets Equities Fund Class 2,2500,Systematic Trend,Ben Durrant
American Century Global Gold Fund Investor Class,2500,Systematic Trend,Guan Wang
BlackRock High Yield Bond Portfolio Class R Shares,2500,Large Blend,Mitchell Garfin
iShares Municipal Bond Index Fund Investor A Shares,2500,Intermediate Core Bond,Karen Uyehara
Brandes International Equity Fund Class R6,2500,Muni National Interm,Brent Woods
iShares Edge MSCI Min Vol EAFE Index Fund Institutional Shares,2500,Muni National Interm,Jennifer M. Hsui
BlackRock 60/40 Target Allocation Fund Institutional Shares,2500,India Equity,Lisa O'Connor
BlackRock 40/60 Target Allocation Fund Institutional,2500,Foreign Large Growth,Lisa O'Connor
Brandes International Small Cap Equity Fund Class R6,2500,Foreign Small/Mid Blend,Bryan Barrett
Sterling Capital Intermediate U.S. Government Fund Class C,2500,Small Growth,Neil T. Grant
Lord Abbett Multi-Asset Balanced Opportunity Fund Class R3,2500,Japan Stock,Giulio A. Martini
BMO Large-Cap Growth Fund Class R6,2500,Foreign Large Blend,Jason C. Hans
BMO Moderate Allocation Fund Class Y,2500,Energy Limited Partnership,Jon D. Adams
Beacon Planned Return Strategy Fund Institutional Class,2500,Energy Limited Partnership,Erman Civelek
Boston Partners Long/Short Research Fund Investor Class,2500,Energy Limited Partnership,Eric S. Connerly
BlackRock Inflation Protected Bond Fund Service Shares,2500,Energy Limited Partnership,Christopher Allen
MFS Blended Research Emerging Markets Equity Fund Class C,2500,Small Blend,Jonathan W. Sage
MFS Blended Research Emerging Markets Equity Fund Class I,2500,Small Blend,Jonathan W. Sage
MFS Blended Research Small Cap Equity Fund Class R4,2500,High Yield Muni,Jonathan W. Sage
Bretton Fund,2500,High Yield Muni,Stephen Dodson
BlackRock Strategic Income Opportunities Portfolio Institutional Shares,2500,Small Blend,Bob Miller
Becker Value Equity Fund Retail Class,2500,Allocation--30% to 50% Equity,Sid Parakh
Bullfinch Greater Western New York Series,2500,Large Blend,Christopher Carosa
Sterling Capital West Virginia Intermediate Tax-Free Fund C Shares,2500,Large Blend,Robert F. Millikan
Barings Active Short Duration Bond Fund Class L,2500,Muni New York Long,Douglas M. Trevallion
Barings Emerging Markets Debt Blended Total Return Fund Class C,2500,Muni New York Long,Natalia Krol
Calvert Growth Allocation Fund Class A,2500,Allocation--70% to 85% Equity,Dan R. Strelow
Calvert Growth Allocation Fund Class I,2500,World Small/Mid Stock,Dan R. Strelow
Cornerstone Advisors Global Public Equity Fund Institutional Shares,2500,Diversified Pacific/Asia,Brandon L. Geisler
Cambiar Global Equity Fund Investor Class,2500,Large Blend,Anna (Ania) A. Aldrich
Absolute Capital Opportunities Fund Institutional Shares,2500,Foreign Large Blend,Jay Compson
AB Relative Value Fund Class R,2500,Large Growth,Vinay V. Thapar
AB Relative Value Fund Advisor Class,2500,Small Growth,Vinay V. Thapar
JPMorgan Corporate Bond Fund Class I,2500,Large Growth,Lorenzo Napolitano
JPMorgan Corporate Bond Fund Class R6,2500,Small Growth,Lorenzo Napolitano
CrossingBridge Ultra-Short Duration Fund Institutional Class Shares,2500,Large Growth,David K. Sherman
Columbia Income Builder Fund Class R,2500,Small Growth,Gene R. Tannuzzo
Conestoga Small Cap Institutional Class,2500,Allocation--30% to 50% Equity,Robert M. Mitchell
American Funds Short-Term Bond Fund of America Class 529-C,2500,Allocation--30% to 50% Equity,John R. Queen
American Funds 2055 Target Date Retirement Fund Class C,2500,Foreign Large Blend,Wesley K.-S. Phoa
Calamos Convertible Fund Class C,2500,Muni California Long,John Calamos
American Funds Capital World Bond Fund Class 529-A,2500,Small Blend,Thomas HÃ¸gh
Columbia Strategic California Municipal Income Fund Institutional 3 Class,2500,Muni California Long,Douglas M. White
Columbia Large Cap Enhanced Core Fund Advisor Class,2500,Small Growth,Raghavendran Sivaraman
Columbia Large Cap Enhanced Core Fund Institutional 3 Class,2500,Small Growth,Raghavendran Sivaraman
Commerce Growth Fund,2500,Pacific/Asia ex-Japan Stk,Joseph Williams
AB Discovery Growth Fund Class A,2500,Intermediate Core-Plus Bond,Bruce Aronow
AB Discovery Growth Fund Class R,2500,Intermediate Core-Plus Bond,Bruce Aronow
Columbia High Yield Municipal Fund Class C,2500,High Yield Muni,Douglas J. White
Columbia High Yield Municipal Fund Institutional 2 Class,2500,High Yield Muni,Douglas J. White
Clough China Fund Class C,2500,High Yield Muni,Anupam I. Bose
AMG River Road Mid Cap Value Fund - Class N,2500,Large Blend,R. Andrew W. Beck
Invesco Charter Fund Class Y,2500,Large Blend,Manind Govil
Calamos High Income Opportunities Fund Class A,2500,Large Blend,John Calamos
Columbia Corporate Income Fund Advisor Class,2500,Large Value,Thomas Murphy
Calamos Global Equity Fund Institutional Class,2500,Large Blend,John Calamos
Columbia Intermediate Municipal Bond Fund Advisor Class,2500,Allocation--85%+ Equity,Paul F. Fuchs
Champlain Mid Cap Fund Advisor Class,2500,Short-Term Bond,Scott D. Brayman
American Funds American High-Income Trust Class 529-E,2500,Intermediate Core-Plus Bond,David A. Daigle
Columbia Oregon Intermediate Municipal Bond Fund Institutional Class,2500,Multisector Bond,Paul F. Fuchs
Columbia Select Mid Cap Value Fund Institutional 3 Class,2500,Mid-Cap Growth,Kari Montanus
Invesco Convertible Securities Fund R5 Shares,2500,Allocation--50% to 70% Equity,Ellen Gold
Columbia Strategic New York Municipal Income Fund Institutional 3 Class,2500,World Small/Mid Stock,Douglas M. White
American Funds New World Fund Class 529-A,2500,Multisector Bond,Robert Lovelace
Calamos Evolving World Growth Fund Class C,2500,Short-Term Bond,John Calamos
Columbia Strategic New York Municipal Income Fund Class C,2500,Tactical Allocation,Douglas M. White
Columbia Overseas Value Fund Institutional Class,2500,Muni California Long,Fred Copper
Aquila Tax-Free Fund of Colorado Class C,2500,Large Value,Christopher B. Johns
Counterpoint Tactical Equity Fund Class C,2500,Muni California Intermediate,Michael Krause
Calamos Phineus Long/Short Fund Class C,2500,Long-Short Equity,Michael Grant
Columbia Capital Allocation Conservative Portfolio Advisor Class,2500,Multisector Bond,Anwiti Bahuguna
AAM/Insight Select Income Fund Class I,2500,Large Value,James DiChiaro
Aberdeen International Small Cap Fund Class C,2500,Large Growth,Ella-Kara Brown
"Cohen & Steers Preferred Securities and Income Fund, Inc. Class A",2500,Short Government,Elaine F. Zaharis-Nikas
"Cohen & Steers Preferred Securities and Income Fund, Inc. Class C",2500,Large Value,Elaine F. Zaharis-Nikas
"Cohen & Steers Preferred Securities and Income Fund, Inc. Class F",2500,Intermediate Core-Plus Bond,Elaine F. Zaharis-Nikas
"Cohen & Steers Preferred Securities and Income Fund, Inc. Class I",2500,Multisector Bond,Elaine F. Zaharis-Nikas
Columbia Disciplined Growth Fund Institutional 2 Class,2500,High Yield Bond,Raghavendran Sivaraman
Columbia Adaptive Risk Allocation Fund Class A,2500,Small Blend,Joshua B. Kutin
Columbia Adaptive Risk Allocation Fund Class C,2500,Short Government,Joshua B. Kutin
CCM Community Impact Bond Fund CRA Shares,2500,Large Value,Elliot Gilfarb
CCM Community Impact Bond Fund Institutional Shares,2500,Intermediate Core-Plus Bond,Elliot Gilfarb
MainStay CBRE Real Estate Fund Class I,2500,Large Growth,T. Ferguson
CCM Community Impact Bond Fund Retail Shares,2500,Multisector Bond,Elliot Gilfarb
Columbia Adaptive Risk Allocation Fund Institutional Class,2500,High Yield Bond,Joshua B. Kutin
Carillon Reams Core Bond Fund Class A,2500,Large Value,Mark Egan
Carillon Reams Core Bond Fund Class R-3,2500,Small Blend,Mark Egan
CRM Long/Short Opportunities Fund Institutional Shares,2500,World Large-Stock Blend,Madeleine (Mimi) B. Morris
CRM Mid Cap Value Fund Class Institutional,2500,Mid-Cap Growth,Thaddeus Pollock
Columbia Short Term Bond Fund Institutional 3 Class,2500,Bank Loan,Gregory S. Liechty
MainStay Cushing MLP Premier Fund Class C,2500,Global Real Estate,John Musgrave
Calvert Bond Fund Class A,2500,High Yield Bond,Vishal S. Khanduja
Carillon Scout International Fund Class A,2500,High Yield Muni,Michael D. Stack
Columbia Small Cap Index Fund Institutional 3 Class,2500,Intermediate Core-Plus Bond,Christopher Lo
Carillon Scout Small Cap Fund Class Y,2500,Muni New Jersey,James R. McBride
American Funds College 2039 Fund Class 529-E,2500,Mid-Cap Value,Wesley K.-S. Phoa
Columbia Total Return Bond Fund Institutional 3 Class,2500,Emerging Markets Bond,Jason J. Callan
Calamos Timpani Small Cap Growth Fund Class C,2500,Infrastructure,Brandon M. Nelson
Columbia Tax-Exempt Fund Institutional Class,2500,Foreign Large Blend,Kimberly M. Campbell
American Funds College 2024 Fund Class 529F1,2500,Diversified Emerging Mkts,Wesley K.-S. Phoa
